True Label,antelope,badger,bat,bear,bee,beetle,bison,boar,butterfly,cat,caterpillar,chimpanzee,cockroach,cow,coyote,crab,crow,deer,dog,dolphin,donkey,dragonfly,duck,eagle,elephant,flamingo,fly,fox,goat,goldfish,goose,gorilla,grasshopper,hamster,hare,hedgehog,hippopotamus,hornbill,horse,hummingbird,hyena,jellyfish,kangaroo,koala,ladybugs,leopard,lion,lizard,lobster,mosquito,moth,mouse,octopus,okapi,orangutan,otter,owl,ox,oyster,panda,parrot,pelecaniformes,penguin,pig,pigeon,porcupine,possum,raccoon,rat,reindeer,rhinoceros,sandpiper,seahorse,seal,shark,sheep,snake,sparrow,squid,squirrel,starfish,swan,tiger,turkey,turtle,unknown,whale,wolf,wombat,woodpecker,zebra,Total
antelope,9,0,1,0,1,0,0,2,1,1,1,1,0,0,3,1,1,0,1,0,0,1,2,0,0,0,0,2,2,0,0,0,1,2,1,0,2,0,0,0,2,0,2,1,0,0,3,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,60
badger,0,8,1,0,1,0,1,1,0,1,0,0,0,1,0,0,2,0,1,0,1,0,2,0,0,0,0,0,1,1,0,4,0,0,1,0,1,3,0,0,2,1,0,1,0,0,2,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,1,2,2,0,1,0,0,2,1,0,0,0,0,0,1,0,60
bat,1,0,11,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,1,0,1,1,0,1,0,3,1,1,0,2,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,1,0,2,4,0,1,0,0,0,0,0,0,0,0,1,0,60
bear,0,2,0,8,0,1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,3,0,0,0,1,0,1,0,2,0,1,1,1,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,2,1,2,0,3,0,0,0,0,1,2,0,1,0,0,1,0,2,0,0,0,0,1,1,0,60
bee,0,0,3,1,8,0,1,1,0,1,0,0,2,1,0,0,0,0,1,0,1,3,2,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,3,0,1,0,0,1,0,1,0,2,1,1,0,3,0,1,0,0,2,0,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,60
beetle,0,0,2,0,0,7,0,1,2,1,2,0,1,1,1,1,1,0,1,0,0,2,3,0,0,0,2,2,4,1,0,0,1,1,0,0,2,2,2,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60
bison,0,0,1,0,0,0,8,1,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,2,1,1,0,2,0,0,1,1,0,2,1,5,2,0,0,0,0,1,1,2,1,0,2,0,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,60
boar,0,0,0,3,0,1,0,7,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,2,0,2,1,1,1,2,0,0,1,0,0,1,0,1,1,1,2,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,3,0,0,0,0,2,0,0,60
butterfly,0,0,0,2,1,3,0,0,6,0,4,0,3,0,0,0,1,1,1,0,1,2,0,0,0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0,2,1,0,1,3,1,1,4,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,60
cat,0,0,1,0,2,1,0,1,0,8,0,0,1,2,0,0,0,2,1,0,1,0,2,1,0,0,2,0,0,0,1,1,0,1,1,0,0,1,1,2,2,0,2,0,0,0,0,1,0,1,2,0,1,0,1,0,1,0,1,0,1,0,0,3,1,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,60
caterpillar,0,0,0,1,0,2,0,0,0,0,13,1,1,0,0,0,0,1,2,0,0,1,2,0,0,0,2,0,1,0,0,1,0,5,0,0,0,1,0,1,4,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,0,1,0,0,60
chimpanzee,1,0,1,0,1,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,1,2,0,0,3,0,0,3,0,1,1,0,0,0,0,2,1,1,2,0,2,0,0,3,0,0,0,1,2,1,2,3,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,1,0,60
cockroach,0,0,0,0,0,0,1,1,0,1,0,0,9,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,3,0,0,0,4,0,0,0,0,0,0,2,1,0,1,1,1,1,1,3,2,1,0,0,1,2,0,0,1,0,2,0,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,60
cow,0,2,2,0,1,1,0,0,0,3,3,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,2,0,0,0,1,0,2,1,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,1,2,0,1,0,0,0,2,1,0,1,1,0,0,2,3,0,0,0,60
coyote,2,1,0,0,0,0,0,1,0,0,2,0,0,0,8,2,1,1,0,0,2,0,1,0,1,0,1,2,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,2,2,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,3,1,0,0,0,1,1,1,0,0,0,2,3,1,0,60
crab,0,0,1,1,2,0,0,1,0,0,0,1,1,0,1,7,1,1,0,0,0,1,0,0,0,2,0,0,1,0,1,2,2,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,2,0,1,1,0,4,0,2,0,0,1,1,1,1,0,1,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,1,1,0,0,60
crow,0,0,0,0,0,1,0,0,2,4,0,0,0,3,1,0,6,1,0,0,2,0,0,1,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,3,2,1,0,0,1,0,0,1,1,0,0,0,1,2,0,0,0,1,0,2,0,0,1,0,1,0,2,0,2,0,1,1,1,0,0,1,2,0,0,1,60
deer,0,0,2,1,1,1,0,2,1,0,0,2,0,1,0,2,1,8,1,0,1,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,2,1,0,0,0,0,1,0,1,1,0,2,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,2,0,0,0,0,1,1,0,1,0,1,1,2,0,0,0,1,1,0,0,60
dog,0,1,0,0,1,0,1,0,0,1,2,0,1,1,1,0,0,0,8,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,3,1,1,1,0,1,0,0,1,1,0,1,2,0,0,0,0,1,2,1,2,0,0,1,0,2,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,3,0,1,1,60
dolphin,0,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0,2,3,1,13,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,1,0,0,1,0,0,0,3,0,5,1,0,0,0,60
donkey,1,1,0,1,0,0,0,2,1,0,1,0,0,1,4,0,2,0,0,0,8,0,0,0,0,0,0,0,1,0,1,2,1,0,2,0,1,1,0,1,0,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,1,0,1,2,2,0,1,1,1,2,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,60
dragonfly,1,0,1,0,0,1,1,1,1,0,7,0,0,0,0,1,1,1,1,0,1,9,0,1,1,0,1,0,0,1,3,0,2,1,1,0,1,1,0,1,1,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,60
duck,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,3,1,0,1,1,8,0,0,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,1,0,0,0,2,1,0,0,0,2,1,0,2,0,2,0,1,1,0,1,1,2,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,3,2,0,0,60
eagle,0,1,2,0,0,0,0,0,1,1,0,0,0,1,1,0,1,4,0,1,2,0,0,10,0,0,1,1,2,0,0,0,2,0,0,1,1,1,0,0,0,0,0,4,1,0,0,0,1,1,0,0,3,0,2,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,60
elephant,0,0,0,2,0,0,0,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,10,0,1,4,0,0,0,2,0,1,0,1,4,0,1,0,0,0,1,2,0,1,1,1,0,0,2,2,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,60
flamingo,2,3,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,8,1,3,0,1,2,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,2,4,0,1,0,1,0,2,0,0,2,0,0,0,0,2,1,0,0,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,60
fly,0,0,2,0,0,4,0,0,0,0,2,0,0,1,2,1,2,0,0,1,0,1,3,0,0,0,8,0,3,2,1,0,3,0,0,0,0,0,0,3,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,60
fox,1,0,1,0,1,0,1,0,0,0,0,0,1,2,2,1,0,1,0,0,5,1,0,1,0,0,1,6,0,0,0,3,0,1,1,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,3,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,3,1,0,60
goat,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,4,1,0,0,1,1,0,0,8,0,1,1,0,0,0,0,2,0,1,1,0,0,2,1,1,0,1,1,0,0,1,0,0,2,0,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,60
goldfish,0,1,2,0,0,2,2,0,1,0,0,2,1,2,1,1,0,0,0,0,1,0,2,0,0,0,0,0,2,9,1,0,0,3,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,3,0,1,0,0,0,1,0,0,0,1,0,0,60
goose,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,2,2,6,1,0,2,0,0,2,2,1,0,0,0,3,2,0,0,0,2,0,0,0,1,0,0,0,1,2,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,3,0,1,0,1,1,0,0,0,0,1,4,1,1,60
gorilla,0,1,0,1,0,2,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,8,0,0,3,0,1,3,0,0,0,0,1,1,0,1,1,0,0,0,1,3,1,0,3,2,1,0,1,1,0,0,0,0,0,1,3,0,0,0,1,1,0,3,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,60
grasshopper,1,0,2,1,0,1,0,0,2,0,2,2,1,2,0,0,1,2,1,0,0,2,0,1,0,0,0,0,0,0,1,1,8,0,1,1,0,2,0,0,1,0,3,0,2,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,60
hamster,0,0,0,0,1,1,0,0,1,3,0,0,2,1,2,1,0,1,2,0,0,0,1,0,0,1,0,2,0,1,0,0,2,7,0,0,0,0,1,0,3,0,0,1,2,2,0,0,0,1,1,4,0,2,0,0,0,1,1,0,1,0,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,60
hare,1,1,0,1,0,0,0,2,0,2,3,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,2,2,2,0,0,0,0,0,8,0,1,1,1,0,5,0,2,2,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,3,0,1,1,60
hedgehog,2,1,0,1,2,0,0,2,0,1,0,1,0,2,0,0,1,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,3,1,3,1,0,1,1,0,0,0,0,3,0,0,1,0,0,0,0,1,1,3,2,2,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,60
hippopotamus,1,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,2,1,0,1,0,8,1,0,0,2,0,0,2,0,0,0,1,0,0,1,3,0,1,1,3,0,1,0,1,1,0,0,1,1,0,1,2,0,1,1,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,60
hornbill,1,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,1,0,1,0,1,0,1,0,1,2,0,1,7,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,3,2,0,0,1,1,1,4,0,60
horse,1,1,0,1,1,1,2,0,3,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,2,1,0,0,1,4,0,1,0,0,0,1,7,1,2,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,2,1,3,0,0,0,2,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,60
hummingbird,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,4,0,0,0,0,0,1,5,1,0,0,5,2,0,0,1,0,0,12,2,0,1,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,60
hyena,0,1,0,1,0,0,1,0,0,0,0,2,0,0,3,0,2,0,0,0,3,0,0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,2,1,0,10,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,1,0,3,0,0,0,1,3,1,1,60
jellyfish,0,1,6,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,9,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,8,0,4,0,0,0,0,60
kangaroo,3,1,0,0,2,0,0,0,0,0,3,0,0,0,2,0,2,1,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,2,0,0,3,0,0,0,1,0,7,0,1,1,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,2,0,2,1,0,0,1,0,0,0,0,3,1,0,60
koala,4,0,0,1,0,0,0,1,0,0,2,0,0,3,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1,0,0,0,0,0,6,0,1,0,1,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,2,0,1,3,0,0,2,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,3,0,2,0,60
